"Year","Month","Crude Oil Price","Production","Crude Oil Export"
"2006","1","63.85","2.59","2.14",
"2006","2","61.33","2.47","2.02",
"2006","3","65","2.25","1.8",
"2006","4","72.09","2.32","1.87",
"2006","5","71.18","2.28","1.83",
"2006","6","69.32","2.41","1.96",
"2006","7","75.13","2.39","1.94",
"2006","8","75.15","2.4","1.95",
"2006","9","62.97","2.4","1.95",
"2006","10","59.49","2.38","1.93",
"2006","11","59.81","2.34","1.89",
"2006","12","64.7","2.36","1.91",
"2007","1","55.57","2.32","1.87",
"2007","2","59.97","2.31","1.86",
"2007","3","64.28","2.14","1.69",
"2007","4","70.46","2.16","1.71",
"2007","5","70.4","1.96","1.51",
"2007","6","73.28","2.08","1.63",
"2007","7","79.76","2.17","1.72",
"2007","8","73.76","2.2","1.75",
"2007","9","79.76","2.31","1.86",
"2007","10","83.86","2.32","1.87",
"2007","11","95.05","2.25","1.8",
"2007","12","93.4","2.2","1.75",
"2008","1","94.26","2.17","1.72",
"2008","2","98.15","2.08","1.63",
"2008","3","103.73","2.06","1.61",
"2008","4","116.73","1.96","1.51",
"2008","5","126.57","2.05","1.6",
"2008","6","138.74","2.02","1.57",
"2008","7","137.74","2.13","1.68",
"2008","8","115.84","2.11","1.66",
"2008","9","103.82","2.17","1.72",
"2008","10","75.31","2.26","1.81",
"2008","11","55.51","2.14","1.69",
"2008","12","45.87","2.04","1.59",
"2009","1","44.95","2.03","1.58",
"2009","2","46.52","2.06","1.61",
"2009","3","49.7","2.07","1.62",
"2009","4","51.16","1.86","1.41",
"2009","5","60.02","2.22","1.77",
"2009","6","72.24","2.17","1.72",
"2009","7","66.52","2.14","1.69",
"2009","8","74","2.12","1.67",
"2009","9","70.22","2.18","1.73",
"2009","10","78.25","2.28","1.83",
"2009","11","78.11","2.15","1.7",
"2009","12","75.11","2.05","1.6",
"2010","1","77.62","2.33","1.88",
"2010","2","75.06","2.39","1.94",
"2010","3","80.27","2.44","1.99",
"2010","4","85.29","2.41","1.96",
"2010","5","77.54","2.41","1.96",
"2010","6","75.79","2.21","1.76",
"2010","7","77.18","2.48","2.03",
"2010","8","78.67","2.5","2.05",
"2010","9","79.45","2.48","2.03",
"2010","10","84.42","2.88","2.43",
"2010","11","86.71","2.5","2.05",
"2010","12","92.79","2.58","2.13",
"2011","1","97.96","2.49","2.04",
"2011","2","106.57","2.51","2.06",
"2011","3","116.56","2.29","1.84",
